이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
이용규,23, LF,-0.43,-0.01,-0.41,50,178,176,154,19,36,0,3,0,42,11,2,1,19,1,0,22,3,2,2,0.234,0.318,0.273,0.591,-0.053,59.6
박찬혁,23, LF,-0.45,-0.33,-0.12,48,167,167,154,13,31,7,0,1,41,8,0,0,10,3,0,41,1,0,0,0.201,0.263,0.266,0.529,-0.062,51.1
장영석,19, 3B,-0.46,0.90,-1.36,119,413,413,372,41,92,15,0,7,128,62,0,0,27,9,0,77,14,0,5,0.247,0.310,0.344,0.654,-0.028,80.2
주성원,23, RF,-0.47,-0.47,0.00,25,72,71,69,7,15,2,1,0,19,2,0,0,1,0,0,18,1,1,1,0.217,0.225,0.275,0.500,-0.105,15.8
김준완,22, LF,-0.49,0.30,-0.79,111,398,392,317,43,61,10,2,1,78,28,1,1,64,8,0,71,4,6,3,0.192,0.339,0.246,0.585,-0.037,72.0
김재현,24, C,-0.50,-0.75,0.25,53,172,168,155,18,36,7,0,0,43,16,0,0,4,6,0,33,5,4,3,0.232,0.274,0.277,0.551,-0.082,37.2
모터,20, 2B,-0.51,-0.50,-0.01,10,37,37,35,4,4,0,0,1,7,3,0,0,1,0,0,10,0,0,1,0.114,0.135,0.200,0.335,-0.194,-45.0
김휘집,21, 2B,-0.54,-0.40,-0.13,34,89,86,70,9,9,1,0,1,13,8,1,0,13,2,0,23,0,3,1,0.129,0.279,0.186,0.465,-0.095,28.8
김재현,23, C,-0.55,-0.27,-0.28,8,10,9,9,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0.111,0.111,0.111,0.222,-0.217,-62.1
예진원,24, CF,-0.63,-0.11,-0.53,22,21,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0,0,0.211,0.286,0.263,0.549,-0.087,32.2
김웅빈,23, 1B,-0.64,-0.31,-0.33,29,74,74,64,2,12,3,0,0,15,9,0,0,6,2,0,20,1,0,2,0.188,0.270,0.234,0.504,-0.070,44.5
김재현,22, C,-0.70,-0.23,-0.47,56,88,86,82,4,17,4,0,1,24,9,0,0,2,1,0,19,3,2,1,0.207,0.233,0.293,0.526,-0.079,36.7
이원석,24, 1B,-0.71,-0.26,-0.45,28,85,85,72,5,16,3,0,0,19,6,0,0,10,1,0,11,2,0,2,0.222,0.318,0.264,0.582,-0.064,49.8
박주홍,23, 1B,-0.71,-0.55,-0.17,27,57,56,49,5,6,0,1,0,8,2,1,0,5,0,0,26,0,1,2,0.122,0.196,0.163,0.359,-0.146,-17.6
박찬혁,22, DH,-0.72,-0.06,-0.65,52,175,175,161,13,34,5,0,6,57,17,0,1,9,5,0,67,1,0,0,0.211,0.274,0.354,0.628,-0.051,59.4
김주형,23, SS,-0.73,-0.56,-0.17,46,81,78,68,5,10,2,0,0,12,4,0,0,9,1,0,27,2,3,0,0.147,0.256,0.176,0.432,-0.109,14.7
